Date,month,year,X,site,Colpodida,Cyrtophorida,Gymnostomatida,Heterotrichida,Hymenostomatida,Hypotrichida,Oligotrichida,Peritrichida,Pleurostomatida,Prostomatida,Suctorida,TOTAL cells.L-ยน
4/14/08,4,2008,1,T1,0,0,488,0,1707,0,1951,0,0,732,0,4878
4/14/08,4,2008,1,T2,0,0,444,0,4287,0,6208,0,444,0,0,11383
4/14/08,4,2008,1,T3,0,0,0,0,8967,0,7472,0,373,746,0,17558
4/29/08,4,2008,2,T1,0,0,216,0,2168,0,867,0,0,0,0,3251
4/29/08,4,2008,2,T2,0,0,84,0,1765,0,252,0,0,0,0,2101
4/29/08,4,2008,2,T3,0,0,0,0,515,0,562,0,94,0,0,1171
5/13/08,5,2008,3,T1,0,0,0,0,5781,0,5781,0,722,722,0,13006
5/13/08,5,2008,3,T2,0,0,0,0,1626,0,16260,0,0,0,0,17886
5/13/08,5,2008,3,T3,0,0,1171,0,0,0,15220,1171,0,0,0,17562
5/28/08,5,2008,4,T1,0,1951,0,0,8455,0,1951,650,0,0,0,13007
5/28/08,5,2008,4,T2,0,0,0,0,11380,0,13007,0,0,0,0,24387
5/28/08,5,2008,4,T3,0,0,0,0,3746,0,14985,0,0,0,0,18731
06/11/08,6,2008,5,T1,0,0,5960,0,11923,0,17886,0,0,0,0,35769
06/11/08,6,2008,5,T2,0,0,0,0,4553,0,18212,0,0,0,0,22765
06/11/08,6,2008,5,T3,0,0,0,0,5049,0,21878,0,0,0,0,26927
06/24/08,6,2008,6,T1,0,0,0,0,5854,0,3902,0,0,0,0,9756
06/24/08,6,2008,6,T2,0,0,0,0,0,0,21138,0,0,0,0,21138
06/24/08,6,2008,6,T3,0,0,0,0,0,0,9951,0,0,585,0,10536
07/08/28,7,2008,7,T1,0,0,1264,0,10152,0,38072,0,0,2534,0,52022
07/08/28,7,2008,7,T2,0,0,0,0,11619,0,32517,0,0,4644,0,48780
07/08/28,7,2008,7,T3,0,0,0,0,5245,0,11989,0,1124,375,0,18733
07/22/08,7,2008,8,T1,0,0,0,0,22636,685,5488,0,6858,8232,0,43899
07/22/08,7,2008,8,T2,0,0,407,0,4066,0,38293,0,1219,407,0,44392
07/22/08,7,2008,8,T3,0,0,2341,0,1170,0,14048,0,0,2341,0,19900
08/05/08,8,2008,9,T1,0,0,0,0,14229,0,17073,2844,0,0,0,34146
08/05/08,8,2008,9,T2,917,0,3670,0,11931,0,10094,0,5507,1837,0,33956
08/05/08,8,2008,9,T3,0,0,0,0,5853,0,5853,1170,0,3512,0,16388
08/19/08,8,2008,10,T1,0,610,0,0,6098,0,1829,0,1219,0,0,9756
08/19/08,8,2008,10,T2,0,0,270,0,8916,0,1081,0,270,0,0,10537
08/19/08,8,2008,10,T3,0,0,4303,0,14523,0,0,537,537,537,0,20437
09/03/08,9,2008,11,T1,0,0,1786,0,19615,0,24967,0,7131,1786,0,55285
09/03/08,9,2008,11,T2,0,0,1141,0,21709,0,18280,0,571,571,0,42272
09/03/08,9,2008,11,T3,0,2341,2341,0,3512,0,26927,1171,0,5853,0,42145
09/17/08,9,2008,12,T1,562,0,562,0,24716,562,0,0,3371,1125,0,30898
09/17/08,9,2008,12,T2,0,0,148,0,27539,0,296,0,0,148,0,28131
09/17/08,9,2008,12,T3,0,0,1795,0,27868,0,16495,0,765,2130,0,49053
10/01/08,10,2008,13,T1,0,0,0,0,432,0,486,0,0,54,0,972
10/01/08,10,2008,13,T2,0,0,0,0,925,0,308,0,393,0,0,1626
10/01/08,10,2008,13,T3,63,0,63,0,1941,0,501,0,63,0,0,2631
10/17/08,10,2008,14,T1,0,0,0,0,0,0,4869,0,1217,0,0,6086
10/17/08,10,2008,14,T2,0,0,0,0,5854,0,650,0,0,0,0,6504
10/17/08,10,2008,14,T3,0,0,1314,0,19045,0,4596,0,1314,657,0,26926
10/29/08,10,2008,15,T1,0,614,0,0,15928,0,0,0,9803,0,0,26345
10/29/08,10,2008,15,T2,0,0,0,0,5628,0,625,0,1250,625,0,8128
10/29/08,10,2008,15,T3,0,0,0,0,1179,0,7024,0,0,0,0,8194
11/17/08,11,2008,16,T1,0,0,3512,0,2341,0,22244,19902,0,8195,0,56194
11/17/08,11,2008,16,T2,0,0,0,0,13238,0,10297,0,5882,1470,0,30887
11/17/08,11,2008,16,T3,0,0,1171,0,3512,1171,4683,1171,0,2341,0,12878
,,,,,,,,,,,,,,,,
 05-05-09,5,2009,17,T1,0,0,313,0,23475,1565,7825,0,0,0,0,33178
5/5/2009,5,2009,17,T2,0,0,0,0,11360,0,3692,0,0,0,0,15052
5/5/2009,5,2009,17,T3,0,0,0,0,13146,0,2817,0,0,0,0,15963
 05-20-09,5,2009,18,T1,0,0,0,0,17841,0,10329,0,0,0,0,28170
 05-20-09,5,2009,18,T2,0,0,0,0,10329,0,6886,0,0,1565,0,18780
 05-20-09,5,2009,18,T3,0,0,0,0,6532,0,7100,284,0,284,0,14200
 06-04-09,6,2009,19,T1,0,0,0,0,11268,0,5634,0,0,0,0,16902
 06-04-09,6,2009,19,T2,0,0,0,0,10642,0,10955,0,0,0,0,21597
 06-04-09,6,2009,19,T3,0,0,626,0,21910,0,11581,0,0,1252,0,35369
06-18-09,6,2009,20,T1,0,0,1565,0,24727,0,9077,0,313,1878,0,37560
 06-18-09,6,2009,20,T2,0,0,939,0,26918,0,5321,0,0,626,0,33804
06-18-09,6,2009,20,T3,0,0,626,0,21284,0,9390,0,0,1252,0,32552
1/7/2009,7,2009,21,T1,0,0,313,0,8138,0,6573,0,0,1565,0,16589
1/7/2009,7,2009,21,T2,0,0,626,0,9390,0,4382,0,0,2191,0,16589
1/7/2009,7,2009,21,T3,0,0,0,0,8804,0,3124,0,0,2272,0,14200
07-15-09,7,2009,22,T1,0,0,672,0,4704,0,5152,0,0,672,0,11200
07-15-09,7,2009,22,T2,0,0,1252,0,9390,0,5947,0,0,0,0,16589
07-15-09 ,7,2009,22,T3,196,0,0,0,3724,0,4312,0,196,1372,0,9800
07-29-09,7,2009,23,T1,0,0,261,0,7830,0,4698,0,261,0,0,13050
07-29-09,7,2009,23,T2,0,0,0,0,5784,0,6266,0,0,0,0,12050
 07-29-09,7,2009,23,T3,0,0,784,0,4312,0,3724,0,0,980,0,9800
 08-11-09,8,2009,24,T1,0,0,1136,0,7668,0,4544,0,284,568,0,14200
11/8/2009,8,2009,24,T2,0,0,852,0,10792,0,1136,0,0,1420,0,14200
 08-11-09,8,2009,24,T3,0,0,0,0,7230,0,3374,0,0,1446,0,12050
08-25-09,8,2009,25,T1,0,0,0,0,5302,0,5302,0,723,723,0,12050
08-25-09,8,2009,25,T2,0,0,0,0,10329,0,3756,0,313,1252,0,15650
 08-25-09,8,2009,25,T3,0,0,0,0,5225,0,4807,0,0,418,0,10450
11/9/2009,9,2009,26,T1,0,0,0,0,6272,0,4032,0,0,896,0,11200
 09-11-09,9,2009,26,T2,0,0,392,0,4704,0,4704,0,0,0,0,9800
 09-11-09,9,2009,26,T3,0,0,0,0,6272,0,4480,0,0,448,0,11200
 09-30-09,9,2009,27,T1,0,0,0,0,47576,0,4695,0,0,0,0,52271
 09-30-09,9,2009,27,T2,0,0,0,0,52897,0,1878,0,0,0,0,54775
09-30-09,9,2009,27,T3,0,0,0,0,30674,0,4069,0,0,0,0,34743
10-16-09,10,2009,28,T1,0,0,0,0,26605,0,5947,0,0,1252,0,33804
10-16-09,10,2009,28,T2,0,0,0,0,24727,0,4069,0,0,313,0,29109
10-16-09,10,2009,28,T3,0,0,0,0,68234,0,3130,0,0,626,0,71990
10-28-09,10,2009,29,T1,0,0,1252,0,30987,0,5008,0,939,2191,0,40377
10-28-09,10,2009,29,T2,0,0,2504,0,41316,0,3756,0,1878,626,0,50080
10-28-09,10,2009,29,T3,0,0,626,0,50080,0,1878,0,313,1565,0,54462
11-20-09,11,2009,30,T1,0,0,313,0,15963,313,3443,0,0,0,0,20032
11-20-09,11,2009,30,T2,0,0,0,0,12207,0,3443,0,0,313,0,15963
11-20-09,11,2009,30,T3,0,0,626,0,10642,0,2817,0,0,1565,0,15650
4/12/2009,12,2009,31,T1,0,0,0,0,23475,0,14711,0,0,0,0,38186
4/12/2009,12,2009,31,T2,0,0,626,0,15024,313,9077,0,313,0,0,25353
 12-04-09,12,2009,31,T3,0,0,939,0,19406,0,10955,0,0,626,0,31926
,,,,,,,,,,,,,,,,
03-19-10,3,2010,32,T1,0,0,626,0,6260,0,9703,0,0,0,0,16589
03-19-10,3,2010,32,T2,0,0,0,0,6507,0,5543,0,0,0,0,12050
03-19-10,3,2010,32,T3,0,0,0,0,5784,0,6266,0,0,0,0,12050
8/4/2010,4,2010,33,T1,0,0,0,0,15024,0,5634,0,0,0,0,20658
8/4/2010,4,2010,33,T2,0,0,0,0,13146,0,6573,0,0,0,0,19719
8/4/2010,4,2010,33,T3,0,0,0,0,11268,0,4695,0,0,0,0,15963
04-19-10,4,2010,34,T1,0,0,0,0,14711,0,1565,0,1565,3130,0,20971
04-19-10,4,2010,34,T2,0,0,0,0,9158,0,1928,0,0,964,0,12050
04-19-10,4,2010,34,T3,0,0,626,0,17215,0,939,0,1252,2817,0,22849
04-26-10,4,2010,35,T1,0,0,313,0,13772,0,10329,0,0,0,0,24414
04-26-10,4,2010,35,T2,0,0,939,0,11268,0,12520,0,0,626,0,25353
04-26-10,4,2010,35,T3,0,0,313,313,14085,0,10329,0,0,313,0,25353
 05-03-10,5,2010,36,T1,0,0,0,0,8435,0,1446,0,1205,0,0,11086
3/5/2010,5,2010,36,T2,0,0,0,0,10962,0,1827,0,0,261,0,13050
3/5/2010,5,2010,36,T3,0,0,0,0,12496,0,1420,0,568,0,0,14484
10/5/2010,5,2010,37,T1,0,0,626,0,13772,0,1252,0,0,0,0,15650
05-18-10,5,2010,37,T1,0,0,939,0,8138,0,11581,0,0,0,0,20658
05-18-10,5,2010,37,T2,0,0,626,0,9703,0,7825,0,0,0,0,18154
05-18-10,5,2010,38,T3,0,0,0,0,5220,0,7830,0,0,0,0,13050
05-24-10,5,2010,38,T1,0,0,0,0,7252,0,2744,0,0,0,0,9996
05-24-10,5,2010,38,T2,0,0,482,0,7712,0,3133,0,482,241,0,12050
05-24-10,5,2010,39,T3,0,0,627,0,6897,0,2926,0,0,0,0,10450
1/6/2010,6,2010,39,T1,0,0,2817,0,3443,0,13146,0,0,1878,0,21284
1/6/2010,6,2010,39,T2,0,0,1344,0,1120,0,8960,0,0,0,0,11424
 06-01-10,6,2010,40,T3,0,0,783,0,261,0,11745,0,0,522,0,13311
06-15-10,6,2010,40,T1,0,0,0,0,3306,0,5394,0,0,0,0,8700
06-15-10,6,2010,40,T2,0,0,0,0,5016,0,5016,0,0,418,0,10450
06-15-10,6,2010,41,T3,0,0,0,0,5600,0,5600,0,0,0,0,11200
06-21-10,6,2010,41,T1,0,0,522,0,1827,0,10701,0,0,0,0,13050
06-21-10,6,2010,41,T2,224,0,1120,0,3136,0,6944,0,0,0,0,11424
06-21-10,6,2010,42,T3,0,0,482,0,3374,0,8194,0,0,241,0,12291
06-28-10,6,2010,42,T1,0,0,313,0,8138,0,7512,0,0,0,0,15963
06-28-10,6,2010,42,T2,313,0,313,0,5634,0,9077,0,313,0,0,15650
6/7/2010,7,2010,43,T1,0,0,0,0,7825,0,9390,0,0,0,0,17215
6/7/2010,7,2010,43,T2,0,0,0,0,15963,0,8764,0,0,0,0,24727
 07-06-10,7,2010,43,T3,0,0,0,0,18780,0,5947,0,0,313,0,25040
9/7/2010,7,2010,44,T1,0,0,0,0,5568,0,1392,0,0,0,0,6960
9/7/2010,7,2010,44,T2,0,0,0,0,6664,0,2940,0,0,196,0,9800
 07-09-10,7,2010,44,T3,0,0,0,0,7656,0,870,174,0,0,0,8700
12/7/2010,7,2010,45,T1,0,0,0,0,28796,0,5634,0,0,0,0,34430
12/7/2010,7,2010,45,T2,0,0,0,0,11894,0,3756,0,0,939,0,16589
12/7/2010,7,2010,45,T3,0,0,0,0,14085,0,4069,0,0,0,0,18154
07-19-10,7,2010,46,T1,313,0,0,0,9077,0,5634,626,0,939,0,16589
07-19-10,7,2010,46,T2,313,0,0,0,8451,0,8451,939,0,626,0,18780
07-19-10,7,2010,46,T3,0,0,0,0,7825,0,12833,0,0,1565,0,22223
07-26-10,7,2010,47,T1,0,0,1878,8764,0,0,5321,0,0,1252,0,17215
07-26-10,7,2010,47,T2,0,0,1764,4116,0,0,3332,0,196,392,0,9800
07-26-10,7,2010,47,T3,0,0,4338,0,964,0,6748,0,0,241,0,12291
5/8/2010,8,2010,48,T1,0,0,3756,0,13146,0,31300,0,626,4069,0,52897
 08-05-10,8,2010,48,T2,0,0,4695,0,4695,0,19719,0,0,3130,0,32239
 08-05-10,8,2010,48,T3,0,0,6573,0,6573,0,9703,0,313,2504,0,25666
10/8/2010,8,2010,49,T1,0,0,2817,0,15650,313,32865,0,0,5321,0,56966
 08-10-10,8,2010,49,T2,0,0,313,0,5634,0,10016,0,0,1252,0,17215
 08-10-10,8,2010,49,T3,0,0,939,0,3443,0,40690,0,0,2817,0,47889
08-17-10,8,2010,50,T1,313,0,939,0,25666,0,14085,0,0,4382,0,45385
08-17-10,8,2010,50,T2,313,0,4695,313,14711,313,3443,0,626,6886,0,31300
08-27-10,8,2010,50,T1,626,0,7199,0,16276,0,3130,0,626,5947,0,33804
08-27-10,8,2010,51,T2,0,0,3130,0,13459,0,2191,0,939,5321,0,25040
08-27-10,8,2010,51,T3,0,0,2504,0,17215,0,11268,0,0,2817,0,33804
1/9/2010,9,2010,51,T1,0,0,1878,0,25353,0,10329,0,0,5321,0,42881
1/9/2010,9,2010,52,T2,0,0,1565,0,10016,0,11581,0,0,313,0,23475
1/9/2010,9,2010,52,T3,0,0,1252,0,25666,0,8451,0,313,3756,0,39438
09-15-10,9,2010,52,T1,0,0,9077,0,29422,0,12833,0,0,939,0,52271
09-15-10,9,2010,53,T2,0,0,2817,0,33804,0,9703,0,0,939,0,47263
 09-29-10,9,2010,53,T2,0,0,2817,0,11268,0,12833,0,0,0,0,26918
09-29-10,9,2010,53,T3,313,0,939,0,10329,0,10016,0,0,0,0,21597
10-28-10,10,2010,54,T1,0,0,0,0,2556,0,12780,0,0,568,0,15904
10-28-10,10,2010,54,T2,0,0,313,0,5947,0,10016,0,0,1252,0,17528
10-28-10,10,2010,54,T3,0,0,0,0,9077,0,8451,0,0,626,0,18154
 11-11-10,11,2010,55,T1,0,0,6260,0,19406,0,9390,0,0,2504,0,37560
11/11/2010,11,2010,55,T2,0,0,5634,0,15650,0,6260,0,0,1565,0,29109
11/11/2010,11,2010,56,T3,0,0,5008,0,16589,0,6260,0,626,939,0,29422
1/12/2010,12,2010,56,T2,0,0,2191,0,10329,0,7825,0,0,3443,0,23788
1/12/2010,12,2010,56,T3,0,0,261,0,7830,0,5220,0,0,261,0,13572
,,,,,,,,,,,,,,,,
03/24/11,3,2011,57,T1,0,834,834,0,6672,0,9452,0,0,0,0,17792
03/24/11,3,2011,57,T2,0,0,556,0,1668,0,13900,0,0,834,0,16958
03/24/11,3,2011,57,T3,0,0,834,0,1390,0,9730,0,1390,278,0,13622
7/4/2011,4,2011,58,T1,0,0,556,0,12788,278,2224,278,0,0,0,16124
7/4/2011,4,2011,58,T2,0,0,556,0,10564,0,3336,0,0,0,0,14456
7/4/2011,4,2011,58,T3,0,0,0,0,11120,0,2780,0,0,0,0,13900
04/21/11,4,2011,59,T1,0,0,0,0,18626,0,75060,0,0,0,0,93686
04/21/11,4,2011,59,T2,0,0,0,0,9730,0,67276,0,0,278,0,77284
04/21/11,4,2011,59,T3,0,0,0,0,17514,0,64496,0,0,1668,0,83678
10/5/2011,5,2011,60,T1,0,0,1390,0,7228,0,13900,0,0,0,0,22518
10/5/2011,5,2011,60,T2,0,0,1946,0,12232,0,4726,0,0,0,0,18904
10/5/2011,5,2011,60,T3,0,0,0,0,4170,0,11954,0,0,0,0,16124
10/6/2011,6,2011,61,T1,0,0,834,0,6672,0,9730,0,0,0,0,17236
10/6/2011,6,2011,61,T2,0,0,0,0,5560,0,3892,0,0,0,0,9452
10/6/2011,6,2011,61,T3,0,0,0,0,8062,0,6950,0,0,0,0,15012
06/23/11,6,2011,62,T1,0,0,278,0,8618,0,3614,0,0,2780,0,15290
06/23/11,6,2011,62,T2,0,0,0,0,8340,0,1390,0,0,5004,0,14734
06/23/11,6,2011,62,T3,0,0,0,0,8062,0,5560,0,0,1946,0,15568
07/21/11,7,2011,63,T1,0,0,834,0,1112,0,834,0,0,0,0,2780
07/21/11,7,2011,63,T2,0,0,834,0,0,0,6950,0,0,0,0,7784
07/21/11,7,2011,63,T3,0,0,3058,0,7784,0,3892,556,0,0,0,15290
4/8/2011,8,2011,64,T1,0,0,0,0,14456,0,1112,0,0,0,0,15568
4/8/2011,8,2011,64,T2,0,0,1390,0,7228,0,8062,0,0,2780,0,19460
4/8/2011,8,2011,64,T3,0,0,2502,0,9174,0,6672,0,0,2502,0,20850
08/17/11,8,2011,65,T1,0,0,1668,0,11120,0,2224,0,0,0,0,15012
08/17/11,8,2011,65,T2,0,0,1946,0,11676,0,4726,1390,0,0,0,19738
08/17/11,8,2011,65,T3,0,0,834,0,14456,0,5282,0,0,0,0,20572
1/9/2011,9,2011,66,T1,0,0,0,0,11120,0,1390,278,0,0,0,12788
1/9/2011,9,2011,66,T2,0,0,556,0,8618,0,7228,278,0,0,0,16680
1/9/2011,9,2011,66,T3,0,0,1946,0,8062,0,5282,0,0,0,0,15290
09/15/11,9,2011,67,T1,0,0,1390,0,7506,0,13066,0,0,3892,0,25854
09/15/11,9,2011,67,T2,0,0,1112,0,3614,0,5004,0,0,3614,0,13344
09/15/11,9,2011,67,T3,0,0,0,0,11120,0,4170,0,0,1946,0,17236
09/29/11,9,2011,68,T1,0,0,0,0,3614,0,10286,0,0,0,0,13900
09/29/11,9,2011,68,T2,0,0,0,0,15568,0,1946,0,0,0,0,17514
09/29/11,9,2011,68,T3,0,0,278,0,18070,0,6116,0,0,0,0,24464
10/13/11,10,2011,69,T1,0,0,556,0,17792,0,4448,278,0,0,0,23074
10/13/11,10,2011,69,T2,0,0,556,0,16958,0,5282,0,0,0,0,22796
10/13/11,10,2011,69,T3,0,0,0,0,4448,0,9452,0,0,0,0,13900
10/27/11,10,2011,70,T1,0,0,0,0,834,0,14178,0,0,0,0,15012
10/27/11,10,2011,70,T2,0,0,0,0,2502,0,14178,556,0,0,0,17236
10/27/11,10,2011,70,T3,0,0,0,0,1390,0,20294,0,0,0,0,21684
11/11/2011,11,2011,71,T1,0,0,834,0,16680,0,4448,556,0,0,0,22518
11/11/2011,11,2011,71,T2,0,0,0,0,17236,0,4726,0,0,278,0,22240
11/11/2011,11,2011,71,T3,0,0,834,0,12510,278,5838,278,0,556,0,20294
2/12/2011,12,2011,72,T1,0,0,0,0,6394,0,8340,834,0,0,0,15568
2/12/2011,12,2011,72,T2,0,0,834,0,18904,0,10842,2224,0,0,0,32804
2/12/2011,12,2011,72,T3,0,0,0,0,7784,0,7784,556,0,0,0,16124
,,,,,,,,,,,,,,,,
7/1/2012,1,2012,73,T1,0,0,0,0,1668,0,14178,0,0,0,0,15846
7/1/2012,1,2012,73,T2,0,0,1946,0,3614,0,9452,0,0,2780,0,17792
7/1/2012,1,2012,73,T3,0,0,834,0,3614,0,6672,0,0,3614,0,14734
2/2/2012,2,2012,74,T1,0,0,0,0,3058,0,11954,0,0,0,0,15012
2/2/2012,2,2012,74,T2,0,0,278,0,278,0,1668,0,20850,0,0,23074
2/2/2012,2,2012,74,T3,0,0,0,0,834,0,3614,0,27244,0,0,31692
4/3/2012,3,2012,75,T1,0,0,0,0,556,0,16680,0,0,0,0,17236
4/3/2012,3,2012,75,T2,0,0,278,0,2502,0,5004,0,2502,0,0,10286
4/3/2012,3,2012,75,T3,0,0,1668,0,4170,0,6950,0,0,1390,0,14178
03/14/2012,3,2012,76,T1,0,0,0,0,0,0,19460,0,0,0,0,19460
03/14/2012,3,2012,76,T2,0,0,556,0,3336,0,18070,0,1390,0,0,23352
03/14/2012,3,2012,76,T3,0,0,278,0,1390,0,17236,0,0,556,0,19460
03/29/2012,3,2012,77,T1,0,0,0,0,556,0,21128,0,0,0,0,21684
03/29/2012,3,2012,77,T2,0,0,1946,0,2780,0,7784,0,9730,0,0,22240
03/29/2012,3,2012,77,T3,0,0,556,0,0,0,25298,0,22240,278,0,48372
12/4/2012,4,2012,78,T1,0,0,0,0,1390,0,9730,0,0,0,0,11120
12/4/2012,4,2012,78,T2,0,0,3058,0,278,0,20294,0,1112,556,0,25298
12/4/2012,4,2012,78,T3,0,0,2224,0,0,0,11398,0,0,1390,0,15012
04/25/2012,4,2012,79,T1,0,0,556,0,834,0,7228,0,0,0,0,8618
04/25/2012,4,2012,79,T2,0,0,3336,0,0,0,10008,0,0,1112,0,14456
04/25/2012,4,2012,79,T3,0,0,2780,0,1946,0,10286,1112,0,0,0,16124
10/5/2012,5,2012,80,T1,0,0,0,0,834,0,20850,0,0,0,0,21684
10/5/2012,5,2012,80,T2,0,0,0,0,2502,0,7784,0,2780,0,0,13066
10/5/2012,5,2012,80,T3,0,0,2224,0,834,0,10564,0,0,834,0,14456
05/23/2012,5,2012,81,T1,0,0,1390,0,4170,0,10842,0,0,0,0,16402
05/23/2012,5,2012,81,T2,0,0,556,0,10008,0,14178,0,2502,834,0,28078
05/23/2012,5,2012,81,T3,0,0,6116,0,0,0,28078,0,0,1668,0,35862
7/6/2012,6,2012,82,T1,0,0,1112,0,4448,0,6116,4726,0,0,0,16402
7/6/2012,6,2012,82,T2,0,0,2502,0,1946,0,3892,8340,0,11120,0,27800
7/6/2012,6,2012,82,T3,0,0,6394,0,278,0,9730,3336,0,33638,0,53376
06/20/2012,6,2012,83,T1,0,0,2780,0,2502,0,23630,0,0,7228,0,36140
06/20/2012,6,2012,83,T2,0,0,0,0,556,0,26410,0,0,2224,0,29190
06/20/2012,6,2012,83,T3,0,0,0,0,1112,0,8062,0,0,11676,0,20850
5/7/2012,7,2012,84,T1,0,0,8062,0,18626,0,3058,834,0,4726,0,35306
5/7/2012,7,2012,84,T2,0,0,278,0,1946,0,3892,0,0,11120,0,17236
5/7/2012,7,2012,84,T3,0,0,1390,0,0,0,6950,0,0,834,0,9174
07/18/2012,7,2012,85,T1,0,0,10564,0,12232,0,2780,0,0,3892,0,29468
07/18/2012,7,2012,85,T2,0,0,0,0,6950,0,7506,0,3336,0,0,17792
07/18/2012,7,2012,85,T3,0,0,834,0,1390,0,5560,0,0,24186,0,31970
1/8/2012,8,2012,86,T1,0,0,1668,0,13900,0,3058,556,0,0,0,19182
1/8/2012,8,2012,86,T2,0,0,2502,0,2224,0,4726,0,4726,834,0,15012
1/8/2012,8,2012,86,T3,0,0,0,0,1946,0,3058,0,0,3336,0,8340
08/18/2012,8,2012,87,T1,0,0,1668,0,11120,0,3058,278,0,0,0,16124
08/18/2012,8,2012,87,T2,0,0,0,0,7784,0,3892,0,556,556,0,12788
08/18/2012,8,2012,87,T3,0,0,278,0,1112,0,3336,0,0,16124,0,20850
08/30/2012,8,2012,88,T1,0,0,1668,0,13900,0,6116,0,0,1112,0,22796
08/30/2012,8,2012,88,T2,0,0,0,0,6116,0,11120,0,3336,1668,0,22240
08/30/2012,8,2012,88,T3,0,0,0,0,556,0,8340,0,0,18626,0,27522
12/9/2012,9,2012,89,T1,0,0,834,0,11676,0,6116,0,0,834,0,19460
12/9/2012,9,2012,89,T2,0,0,556,0,7506,0,5004,0,0,3336,0,16402
12/9/2012,9,2012,89,T3,0,0,834,0,3892,0,8618,0,0,6672,0,20016
09/27/2012,9,2012,90,T1,0,0,0,0,2224,0,25576,0,0,0,0,27800
09/27/2012,9,2012,90,T2,0,0,556,0,6116,0,8896,0,0,5004,0,20572
09/27/2012,9,2012,90,T3,0,0,0,0,4726,0,4726,0,0,1112,0,10564
12/10/2012,10,2012,91,T1,0,0,0,0,556,0,9174,0,0,0,0,9730
12/10/2012,10,2012,91,T2,0,0,834,0,3614,0,16124,0,0,3614,0,24186
12/10/2012,10,2012,91,T3,0,0,0,0,10008,0,4726,0,0,4448,0,19182
10/25/2012,10,2012,92,T1,0,0,0,0,0,0,20850,0,0,0,0,20850
8/11/2012,11,2012,93,T1,0,0,0,0,0,0,9452,0,0,0,0,9452
8/11/2012,11,2012,93,T2,0,0,1946,0,4170,0,2224,0,0,9730,0,18070
8/11/2012,11,2012,93,T3,0,0,1946,0,5838,0,1946,0,0,8896,0,18626
6/12/2012,12,2012,94,T1,0,0,5004,0,1112,0,7506,2502,0,0,0,16124
6/12/2012,12,2012,94,T2,0,0,4170,0,6950,0,3058,0,0,8618,0,22796
6/12/2012,12,2012,94,T3,0,0,1390,0,1390,0,5838,834,0,2224,0,11676
